Variable,Label,Mean,Min,Max,StdDev,Valid,Invalid,Variance
taxpoor,"TAXES ON LOW INCOME PEOPLE TOO HIGH",2.115,1.0,5.0,0.891,4129.0,55470.0,0.794
taxshare,"SHOULD RICH PAY BIGGER SHARE OF TAXES?",2.156,1.0,5.0,0.8,3644.0,55955.0,0.641
conwlth,"CONFLICT BETWEEN POOR AND RICH IN USA?",2.252,1.0,4.0,0.771,2536.0,57063.0,0.594
conclass,"WORKING AND MIDDLE CLASSES IN CONFLICT?",2.795,1.0,4.0,0.696,2538.0,57061.0,0.485
conjobs,"EMPLOYED AND UNEMPLOYED IN CONFLICT",2.448,1.0,4.0,0.793,1442.0,58157.0,0.629
conunion,"WORKERS AND MANAGEMENT IN CONFLICT?",2.348,1.0,4.0,0.733,2535.0,57064.0,0.537
conurban,"FARMERS AND CITY PEOPLE IN CONFLICT?",2.634,1.0,4.0,0.826,1425.0,58174.0,0.682
consoc,"CONFLICT BETWEEN SOCIAL TOP AND BOTTOM",2.013,1.0,4.0,0.816,1091.0,58508.0,0.666
conage,"CONFLICT BETWEEN YOUNG AND OLD",2.534,1.0,4.0,0.778,1107.0,58492.0,0.605
occmobil,"STATUS OF JOB HIGHER THAN FATHERS?",2.903,1.0,7.0,1.585,2636.0,56963.0,2.512
pajob,"TYPE OF JOB HELD BY FATHER WHEN R 16",5.922,1.0,9.0,2.552,1376.0,58223.0,6.512
paslf,"WAS FATHER SELF-EMPLOYED?",1.791,1.0,3.0,0.536,1376.0,58223.0,0.288
firstjob,"TYPE OF FIRST JOB HELD BY R",5.154,1.0,10.0,2.754,1458.0,58141.0,7.584
firstslf,"FIRST JOB SELF-EMPLOYMENT?",1.999,1.0,3.0,0.287,1364.0,58235.0,0.082
lastjob,"TYPE OF CURRENT JOB HELD BY R",4.63,1.0,10.0,2.588,1458.0,58141.0,6.696
lastslf,"CURRENT JOB SELF-EMPLOYMENT?",1.929,1.0,3.0,0.365,1365.0,58234.0,0.134
rewrdeff,"EFFORT REWARDED IN AMERICA",2.381,1.0,5.0,0.89,1193.0,58406.0,0.791
rewrdint,"INTELLIGENCE AND SKILL REWARDED IN AMERICA",2.21,1.0,5.0,0.845,1198.0,58401.0,0.714
corrupt,"MUST BE CORRUPT TO GET TO TOP IN AMERICA",3.607,1.0,5.0,1.103,1193.0,58406.0,1.217
earndes,"R DESERVES EARNINGS",2.327,1.0,6.0,0.906,1121.0,58478.0,0.82
ldcgap,"DIFFERENCES BETWEEN RICH AND POOR TOO LARGE",2.224,1.0,5.0,0.885,1145.0,58454.0,0.783
ldctax,"RICH COUNTRIES PAY TAX TO HELP POOR COUNTRIES",3.009,1.0,5.0,1.206,1168.0,58431.0,1.455
richhlth,"RICH BUY BETTER HEALTH CARE THAN POOR",3.361,1.0,5.0,1.387,1188.0,58411.0,1.924
richeduc,"RICH BUY BETTER EDUCATION THAN POOR",3.3,1.0,5.0,1.416,1196.0,58403.0,2.006
payresp,"HOW MUCH PAY DEPENDENT ON REPONSIBILITY",1.9,1.0,5.0,0.718,1188.0,58411.0,0.515
payedtrn,"HOW MUCH PAY DEPENDENT ON EDUC AND TRAINING",2.14,1.0,5.0,0.824,1199.0,58400.0,0.678
paysup,"HOW MUCH PAY DEPENDENT ON SUPERVISING OTHERS",2.277,1.0,5.0,0.816,1184.0,58415.0,0.665
payfam1,"HOW MUCH PAY DEPENDENT ON FAMILY TO SUPPORT",2.353,1.0,5.0,1.068,1179.0,58420.0,1.14
paychild,"HOW MUCH PAY DEPENDENT ON CHILDREN",2.862,1.0,5.0,1.233,1164.0,58435.0,1.519
paydowel,"HOW MUCH PAY DEPENDENT ON WORK WELL DONE",1.698,1.0,5.0,0.678,1201.0,58398.0,0.459
payhard,"HOW MUCH PAY DEPENDENT ON WORKING HARD",1.767,1.0,5.0,0.707,1198.0,58401.0,0.5
justpay,"IS RS PAY JUST",2.321,1.0,6.0,0.983,1142.0,58457.0,0.967
soctype1,"WHAT TYPE OF SOCIETY IS AMERICA",2.676,1.0,5.0,1.143,1124.0,58475.0,1.307
soctype2,"WHAT TYPE OF SOCIETY DOES R PREFER",3.839,1.0,5.0,0.986,1098.0,58501.0,0.972
famrnk,"RANK IN SOCIETY OF R",4.217,1.0,7.0,1.184,1135.0,58464.0,1.401
unsklrnk,"RANK IN SOCIETY OF UNSKILLED WORKERS",5.73,1.0,7.0,1.142,1131.0,58468.0,1.303
execrnk,"RANK IN SOCIETY OF CHAIRMEN",1.769,1.0,7.0,0.99,1117.0,58482.0,0.981
pasup,"RS FATHER SUPERVISOR",2.247,1.0,5.0,1.253,1199.0,58400.0,1.57
books16,"BOOKS IN HOME OF R AGE 16",4.798,1.0,9.0,1.862,1199.0,58400.0,3.468
mawrkwrm,"WORKING MOM CAN HAVE A WARM REL W KIDS",2.229,1.0,5.0,1.256,5250.0,54349.0,1.577
kidsuffr,"PRESCHOOLER WILL SUFFER IF MOM WORKS",3.219,1.0,5.0,1.314,5225.0,54374.0,1.727
famsuffr,"FAMILY LIFE SUFFERS IF MOM WORKS F-T",3.274,1.0,5.0,1.297,7758.0,51841.0,1.683
hapifwrk,"WOMAN AND FAMILY HAPPIER IF SHE WORKS",3.346,1.0,5.0,0.954,1340.0,58259.0,0.911
homekid,"MOST WOMEN REALLY WANT A HOME AND KIDS",3.106,1.0,5.0,1.211,5110.0,54489.0,1.466
housewrk,"BEING HOUSEWIFE AS FULFILLING AS PAID WORK",2.525,1.0,5.0,1.172,5068.0,54531.0,1.373
fejobind,"JOB IS BEST WAY FOR WOMAN TO BE INDEP",2.779,1.0,5.0,1.222,3915.0,55684.0,1.492
twoincs,"HUSB & WIFE SHOULD CONTRIB TO FAMILY INCOME",2.358,1.0,5.0,1.02,4190.0,55409.0,1.041
hubbywrk,"HUSB SHLD WORK WIFE SHLD LOOK AFTER HOME",3.396,1.0,5.0,1.292,5280.0,54319.0,1.669
ilikejob,"R WOULD ENJOY JOB IF MONEY WASNT NEEDED",2.522,1.0,5.0,1.151,1359.0,58240.0,1.325
wrknokid,"SHLD MOM WORK AFTR MARRIAGE, BEFORE KIDS?",1.229,1.0,3.0,0.496,3466.0,56133.0,0.246
wrkbaby,"SHLD WOMAN WITH PRESCHOOLER WORK?",2.352,1.0,3.0,0.697,4516.0,55083.0,0.486
wrksch,"SHLD WOMAN WORK AFTER YOUNGEST IN SCHOOL?",1.666,1.0,3.0,0.623,4545.0,55054.0,0.388
wrkgrown,"SHLD WOMAN WORK AFTER KIDS LEAVE HOME?",1.262,1.0,3.0,0.514,3371.0,56228.0,0.264
daycare1,"PUBLIC DAYCARE CENTER OK FOR KID < 3 YRS?",2.271,1.0,4.0,0.941,1258.0,58341.0,0.885
daycare2,"PRIVATE DAYCARE CENTER OK FOR KID < 3 YRS?",1.894,1.0,4.0,0.843,1270.0,58329.0,0.711
daycare3,"BABYSITTER OK FOR KID < 3 YRS?",2.007,1.0,4.0,0.853,1280.0,58319.0,0.728
daycare4,"FRIEND OR NEIGHBOR OK FOR KID < 3 YRS?",2.016,1.0,4.0,0.85,1278.0,58321.0,0.723
daycare5,"RELATIVE OK FOR KID < 3YRS?",1.6,1.0,4.0,0.759,1315.0,58284.0,0.577
femarry,"WAY OF LIFE RECOMMENDATION FOR WOMAN",3.296,1.0,4.0,0.965,1192.0,58407.0,0.931
memarry,"WAY OF LIFE RECOMMENDATION FOR MAN",3.261,1.0,4.0,0.992,1188.0,58411.0,0.983
marhappy,"MARRIED PEOPLE HAPPIER THAN UNMARRIED",2.705,1.0,5.0,1.069,5076.0,54523.0,1.143
marfree,"PERSONAL FREEDOM MORE IMPT THAN MARRIAGE",3.61,1.0,5.0,1.019,2771.0,56828.0,1.039
marfin,"FINANCIAL SECURITY MAIN ADVTG OF MARRIAGE",3.569,1.0,5.0,1.004,2770.0,56829.0,1.008
markids,"MAIN PURPOSE OF MARRIAGE = KIDS",3.719,1.0,5.0,0.928,2761.0,56838.0,0.86
marnomar,"BAD MARRIAGE BETTER THAN NONE AT ALL",4.356,1.0,5.0,0.834,3931.0,55668.0,0.695
marlegit,"THOSE WANTING KIDS SHOULD GET MARRIED",2.219,1.0,5.0,1.142,5212.0,54387.0,1.304
marmakid,"SINGLE MA CAN RAISE KIDS WELL AS COUPLE",3.116,1.0,5.0,1.187,1375.0,58224.0,1.408
marpakid,"SINGLE PA CAN RAISE KIDS WELL AS COUPLE",3.234,1.0,5.0,1.157,1370.0,58229.0,1.34
mardiv,"MARRIAGE NOT TAKEN SERIOUSLY WHEN DIV IS EZ",2.341,1.0,5.0,1.071,1365.0,58234.0,1.147
marhomo,"HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY",3.217,1.0,5.0,1.516,10048.0,49551.0,2.3
numkids,"WHAT IS IDEAL NUMBER OF KIDS FOR FAMILY",2.557,0.0,7.0,0.927,3830.0,55769.0,0.859
nokids,"DESIRABILITY OF NO-KID FAMILY",3.342,1.0,5.0,1.012,1221.0,58378.0,1.025
onekid,"DESIRABILITY OF ONE-KID FAMILY",2.626,1.0,5.0,0.962,1258.0,58341.0,0.925
twokids,"DESIRABILITY OF TWO-KID FAMILY",1.934,1.0,5.0,0.769,1298.0,58301.0,0.591
threkids,"DESIRABILITY OF THREE-KID FAMILY",2.374,1.0,5.0,0.983,1281.0,58318.0,0.966
fourkids,"DESIRABILITY OF 4+ KID FAMILY",2.992,1.0,5.0,1.214,1259.0,58340.0,1.474
kidtrble,"KIDS MORE TROUBLE THAN THEY ARE WORTH",4.279,1.0,5.0,0.844,1377.0,58222.0,0.713
kidjoy,"KIDS ARE LIFE'S GREATEST JOY",1.761,1.0,5.0,0.817,5186.0,54413.0,0.668
kidnofre,"KIDS INTERFERE WITH PARENTS' FREEDOM",3.842,1.0,5.0,0.944,4001.0,55598.0,0.892
kidless,"KIDLESS MARRIAGE IS INCOMPLETE",2.771,1.0,5.0,1.17,1354.0,58245.0,1.37
kidfin,"BETTER NOT TO HAVE KIDS DUE TO $ BURDEN",4.169,1.0,5.0,0.817,1376.0,58223.0,0.667
kidempty,"KIDLESS PEOPLE LEAD EMPTY LIVES",3.407,1.0,5.0,1.118,3837.0,55762.0,1.25
divnow,"HOW EASY IS IT TO GET A DIVORCE TODAY",1.948,1.0,5.0,1.071,1339.0,58260.0,1.146
divnokid,"HOW EZ SHOULD DIVORCE BE FOR KIDLESS",2.793,1.0,5.0,1.209,1305.0,58294.0,1.462
divifkid,"HOW EZ SHOULD DIVORCE BE IF KIDS",3.584,1.0,5.0,1.102,1311.0,58288.0,1.214
divkids,"KIDS BETTER IF BAD MARRGE ENDED BY DIV",2.155,1.0,4.0,0.878,1073.0,58526.0,0.771
divwife,"WIFE BETTER IF BAD MARRGE ENDED BY DIV",2.112,1.0,4.0,0.834,1058.0,58541.0,0.696
divhubby,"HUSB BETTER IF BAD MARRGE ENDED BY DIV",2.092,1.0,4.0,0.818,1061.0,58538.0,0.669
mawork14,"DID MOM WORK BEFORE R WAS 14 YRS OLD",1.446,1.0,3.0,0.528,5181.0,54418.0,0.279
evdiv,"HAS R EVER BEEN DIVORCED",1.887,1.0,3.0,0.649,2816.0,56783.0,0.422
spevdiv,"HAS RS CURRENT SPOUSE BEEN DIVORCED",2.07,1.0,3.0,0.625,2382.0,57217.0,0.391
cohabit,"DID R LIVE WITH SPOUSE BEFORE MARRIAGE",1.736,1.0,2.0,0.441,1473.0,58126.0,0.194
rwrknokd,"DID R WORK AFTR MARRGE BUT BEFORE KIDS",1.356,1.0,3.0,0.712,2072.0,57527.0,0.507
rwrkbaby,"DID R WORK WHEN KID WAS PRESCHOOLER",1.755,1.0,3.0,0.886,2089.0,57510.0,0.785
rwrksch,"DID R WORK AFTER YOUNGEST IN SCHOOL",1.507,1.0,3.0,0.763,1824.0,57775.0,0.583
rwrkgrwn,"DID R WORK AFTER KIDS LEFT HOME",1.367,1.0,3.0,0.689,1252.0,58347.0,0.475
earnsmor,"HUBBY OR WIFE EARNS MORE $",1.868,1.0,5.0,1.182,758.0,58841.0,1.396
fewrksup,"DO MOST WOMEN WORK TO SUPPORT FAMILY",1.955,1.0,5.0,0.847,1423.0,58176.0,0.717
hubbywk1,"MEN SHOULD EARN MONEY WOMEN KEEP HOUSE",3.583,1.0,5.0,1.237,3848.0,55751.0,1.53
mrmom,"GENDER ROLE REVERSAL HURTS FAMILY",3.412,1.0,5.0,1.146,1405.0,58194.0,1.314
meovrwrk,"MEN HURT FAMILY WHEN FOCUS ON WORK TOO MUCH",2.593,1.0,5.0,1.049,14119.0,45480.0,1.1
singlpar,"SINGLE PARENTS CAN RAISE KIDS AS WELL AS TWO",3.039,1.0,5.0,1.254,3843.0,55756.0,1.573
cohabok,"LIVING TOGETHER AS AN ACCEPTABLE OPTION",2.913,1.0,5.0,1.298,5058.0,54541.0,1.685
cohabfst,"PEOPLE SHOULD LIVE TOGETHER BEFORE MARRIAGE",2.966,1.0,5.0,1.292,3778.0,55821.0,1.669
divbest,"DIVORCE AS BEST SOLUTION TO MARITAL PROBLEMS",2.848,1.0,5.0,1.159,3806.0,55793.0,1.343
divifkd1,"SHOULD FEUDING PARENTS STAY TOGETHER FOR KIDS",3.676,1.0,5.0,1.002,1350.0,58249.0,1.003
divnokd1,"CHILDLESS COUPLES STAY MARRIED EVEN WITH PROBLEMS",4.019,1.0,5.0,0.891,1360.0,58239.0,0.794
livnowed,"DID R LIVE WITH PARTNER BEFORE MARRIAGE",3.395,1.0,4.0,1.143,1310.0,58289.0,1.306
mapaid,"SHOULD WORKING WOMEN HAVE PAID MATERNITY LEAVE",1.935,1.0,5.0,0.985,2496.0,57103.0,0.97
chldcare,"SHOULD FAMILIES GET BENEFITS IF BOTH PARENTS WORK",2.637,1.0,5.0,1.228,2473.0,57126.0,1.507
abchoose,"SHOULD A WOMAN GET AN ABORTION FOR ANY REASON",3.038,1.0,5.0,1.48,1332.0,58267.0,2.189
teensex1,"MORALITY OF TEENS HAVING SEX",1.462,1.0,4.0,0.819,1310.0,58289.0,0.67
sexhar,"R EXPERIENCED SEXUAL HARRASSMENT",1.657,1.0,3.0,0.498,2760.0,56839.0,0.248
fambudgt,"HOW COUPLES MONITOR BUDGET",3.956,1.0,6.0,1.689,3237.0,56362.0,2.852
laundry,"WHO IN HOUSEHOLD DOES LAUNDRY",4.185,1.0,7.0,2.55,1413.0,58186.0,6.501
repairs,"WHO IN HOUSEHOLD DOES SMALL REPAIRS",5.24,1.0,7.0,1.677,1413.0,58186.0,2.811
caresick,"WHO IN HOUSEHOLD CARES FOR SICK IN FAMILY",4.385,1.0,7.0,2.365,1394.0,58205.0,5.592
shopfood,"WHO IN HOUSEHOLD SHOPS FOR GROCERIES",4.375,1.0,7.0,2.363,1416.0,58183.0,5.584
dinner,"WHO IN HOUSEHOLD PLANS MEALS",4.322,1.0,7.0,2.404,1415.0,58184.0,5.782
spwknokd,"DID SPOUSE WORK AFTER MARRIAGE BEFORE KIDS",1.265,1.0,3.0,0.62,1688.0,57911.0,0.384
spwkbaby,"DID SPOUSE WORK WITH YOUNG CHILDREN",1.491,1.0,3.0,0.794,1669.0,57930.0,0.63
spwrksch,"DID SPOUSE WORK WITH SCHOOL AGE CHILDREN",1.391,1.0,3.0,0.705,1477.0,58122.0,0.497
spwkgrwn,"DID SPOUSE WORK AFTER CHILDREN LEFT HOME",1.313,1.0,3.0,0.65,1011.0,58588.0,0.423
mehhwork,"MEN OUGHT TO DO MORE HH WORK THAN THEY DO NOW",2.328,1.0,5.0,1.098,1148.0,58451.0,1.206
mekdcare,"MEN OUGHT TO DO MORE CHILDCARE THAN THEY DO NOW",2.155,1.0,5.0,1.013,1153.0,58446.0,1.027
laundry1,"WHO IN HOUSEHOLD DOES LAUNDRY",2.71,1.0,6.0,1.345,1376.0,58223.0,1.809
repairs1,"WHO IN HOUSEHOLD DOES SMALL REPAIRS",2.926,1.0,6.0,1.48,1375.0,58224.0,2.191
caresik1,"WHO IN HOUSEHOLD CARES FOR SICK IN FAMILY",2.706,1.0,6.0,1.139,1266.0,58333.0,1.297
shop1,"WHO IN HOUSEHOLD SHOPS FOR GROCERIES",2.736,1.0,6.0,1.155,1381.0,58218.0,1.333
clean1,"WHO IN HOUSEHOLD DOES CLEANING",2.732,1.0,6.0,1.234,680.0,58919.0,1.522
cooking1,"WHO IN HOUSEHOLD PREPARES THE MEALS",2.696,1.0,6.0,1.257,1379.0,58220.0,1.58
rhhwork,"HOW MANY HOURS A WEEK DOES R SPEND ON HH WORK",10.464,0.0,97.0,11.29,1959.0,57640.0,127.455
sphhwork,"HOW MANY HOURS A WEEK DOES SPOUSE ON HH WRK",10.605,0.0,97.0,13.459,1364.0,58235.0,181.134
hhwkfair,"SHARING OF HH WORK BETWEEN R AND SPOUSE",2.66,1.0,5.0,1.15,1372.0,58227.0,1.323
hhwkdis,"HOW OFTEN R AND SPOUSE DISAGREE SHARING OF HH WRK",3.787,1.0,5.0,1.208,662.0,58937.0,1.46
deckids,"WHO MAKES DECISION ABOUT HOW TO BRING UP CHILDREN",3.047,1.0,5.0,1.242,1416.0,58183.0,1.543
spborn,"WHEN WAS YOUR SPOUSE BORN",2274.011,1918.0,9999.0,1548.408,700.0,58899.0,2397567.797
weekend,"WHO HAS FINAL SAY ABOUT CHOOSING WEEKEND ACTIVITY",3.063,1.0,5.0,1.071,681.0,58918.0,1.147
buythngs,"WHO HAS FINAL SAY ABOUT BUYING THINGS FOR HOME",3.05,1.0,5.0,1.162,682.0,58917.0,1.351
timehome,"RUN OUT OF TIME BEFORE GETTING THINGS DONE AT HOME",2.2,1.0,5.0,1.154,1152.0,58447.0,1.333
strsshme,"LIFE AT HOME IS RARELY STRESSFUL",2.83,1.0,5.0,1.254,1155.0,58444.0,1.573
timework,"RUN OUT OF TIME BEFORE GETTING THINGS DONE AT WORK",2.693,1.0,5.0,1.217,1002.0,58597.0,1.482
strsswrk,"JOB IS RARELY STRESSFUL",3.236,1.0,5.0,1.192,1000.0,58599.0,1.42
tiredhme,"COME HOME FROM WORK TOO TIRED TO DO THE CHORES",3.188,1.0,6.0,1.81,1157.0,58442.0,3.278
jobvsfam,"DIFFICULT TO FULFILL FAM RESPONSIBILITY BC OF JOB",3.84,1.0,6.0,1.576,1155.0,58444.0,2.483
tiredwrk,"ARRIVED AT WORK TOO TIRED TO FUNCTION BC OF HHWORK",4.185,1.0,6.0,1.284,1161.0,58438.0,1.648
famvswrk,"DIFFICULT TO CONCENTRATE WRK BC OF FAM RESPONSIBILITY",4.141,1.0,6.0,1.341,1162.0,58437.0,1.797
happy7,"HOW HAPPY R IS",2.488,1.0,7.0,0.988,2444.0,57155.0,0.977
satjob7,"JOB SATISFACTION IN GENERAL",2.643,1.0,7.0,1.258,1582.0,58017.0,1.582
satfam7,"FAMILY SATISFACTION IN GENERAL",2.351,1.0,7.0,1.15,2411.0,57188.0,1.322
fewknokd,"WOMEN SHOULD WORK OUTSIDE WHEN NO KIDS",1.147,1.0,3.0,0.414,960.0,58639.0,0.171
twoincs1,"BOTH MEN AND WOMEN SHOULD CONTRIBUTE TO INCOME",2.319,1.0,5.0,1.023,3808.0,55791.0,1.046
earnshh,"HUBBY OR WIFE EARNS MORE DOLLARS",3.839,1.0,7.0,1.668,1355.0,58244.0,2.782
SSFCHILD,"SAME SEX FEMALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE",2.993,1.0,5.0,1.28,1230.0,58369.0,1.639
SSMCHILD,"SAME SEX MALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE",3.092,1.0,5.0,1.291,1228.0,58371.0,1.668
KIDFINBU,"CHILDREN ARE FINANCIAL BURDEN ON PARENTS",3.437,1.0,5.0,1.132,1266.0,58333.0,1.282
KIDJOB,"CHILDREN LIMIT EMP AND CAREER OPP FOR ONE OR BOTH PARENTS",3.223,1.0,5.0,1.084,1258.0,58341.0,1.176
KIDSOCST,"HAVING CHILDREN INCREASES SOCIAL STANDING IN SOCIETY",3.046,1.0,5.0,0.977,1248.0,58351.0,0.955
ELDERSUP,"ADULT CHILDREN ARE IMP TO HELP ELDERLY PARENTS",1.998,1.0,5.0,0.755,1276.0,58323.0,0.569
PAIDLV,"PAID LEAVE FOR CHILDCARE",1.178,1.0,2.0,0.383,1230.0,58369.0,0.146
PAIDLV1,"Months of paid leave that should be available",6.039,1.0,72.0,6.594,1011.0,58588.0,43.483
PAIDLVPY,"WHO PAYS FOR LEAVE",2.542,1.0,4.0,0.707,970.0,58629.0,0.5
PAIDLVDV,"MOTHER OR FATHER PAID LEAVE",2.056,1.0,5.0,0.85,892.0,58707.0,0.722
FAMWKBST,"BEST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD",1.885,1.0,6.0,0.933,977.0,58622.0,0.87
FAMWKLST,"WORST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD",4.221,1.0,6.0,1.571,1042.0,58557.0,2.468
CAREPROV,"WHO SHOULD PROVIDE CHILDCARE FOR UNDER SCHOOL AGE CHILD",2.183,1.0,5.0,1.483,1103.0,58496.0,2.201
CARECOST,"WHO SHOULD PAY FOR COSTS OF CARE FOR UNDER SCHOOL AGE CHILD",1.288,1.0,3.0,0.583,1086.0,58513.0,0.34
ELDHELP,"WHO SHOULD PROVIDE HELP FOR ELDERLY",1.607,1.0,4.0,0.979,1156.0,58443.0,0.959
ELDCOST,"WHO SHOULD PAY FOR HELP FOR ELDERLY",1.459,1.0,2.0,0.499,1049.0,58550.0,0.249
HHCLEAN1,"WHO DOES HOUSEHOLD CLEANING",2.858,1.0,6.0,1.465,697.0,58902.0,2.145
WKNDACT,"WHO DECIDES WEEKEND ACTIVITIES",3.128,1.0,5.0,1.095,694.0,58905.0,1.2
TIREDHM1,"HOW OFTEN TOO TIRED TO DO HOUSEWORK",1.595,0.0,4.0,1.426,1290.0,58309.0,2.035
JOBVSFA1,"HOW OFTEN JOB  TAKES TOO MUCH TIME TO FULFILL FAMILY RESP",1.916,0.0,4.0,1.687,1290.0,58309.0,2.846
TIREDWK1,"HOW OFTEN TOO TIRED FROM HOUSEWORK TO DO JOB WELL",2.335,0.0,4.0,1.823,1291.0,58308.0,3.322
FAMVSWK1,"HOW OFTEN DIFFICULT TO CONC AT WORK BECAUSE FAMILY RESP",2.232,0.0,4.0,1.771,1291.0,58308.0,3.136
WKKIDSCL,"DID R WORK OUTSIDE HOME WITH CHILD UNDER SCHOOL AGE",1.47,1.0,3.0,0.763,883.0,58716.0,0.583
WKYNGSCL,"DID R WORK OUTSIDE HOME AFTER CHILD STARTED SCHOOL",1.345,1.0,3.0,0.664,822.0,58777.0,0.441
WKKIDSCS,"DID PARTNER WORK OUTSIDE HOME WITH CHILD UNDER SCHOOL AGE",1.539,1.0,3.0,0.824,825.0,58774.0,0.678
WKYNGSCS,"DID PARTNER WORK OUTSIDE HOME AFTER CHILD STARTED SCHOOL",1.41,1.0,3.0,0.719,731.0,58868.0,0.516
RFAMLOOK,"Hours R spends looking after family members",18.286,0.0,97.0,28.434,1299.0,58300.0,808.471
SPFALOOK,"HOURS SPOUSE SPENDS LOOKING AFTER FAMILY MEMBERS",20.21,0.0,97.0,27.732,699.0,58900.0,769.077
SPLIVE,"HOW LONG BEEN LIVING WITH SPOUSE",21.199,0.0,68.0,15.392,564.0,59035.0,236.898
timepdwk,"TIME R WOULD SPEND ON PAID WORK",3.06,1.0,5.0,1.085,3453.0,56146.0,1.176
timehhwk,"TIME R WOULD SPEND ON HOUSEHOLD WORK",3.261,1.0,5.0,1.131,4003.0,55596.0,1.279
timefam,"TIME R WOULD SPEND ON FAMILY",1.789,1.0,5.0,0.831,4071.0,55528.0,0.69
timefrnd,"TIME R WOULD SPEND ON FRIENDS",2.251,1.0,5.0,0.85,4065.0,55534.0,0.722
timeleis,"TIME R WOULD SPEND ON LEISURE",2.092,1.0,5.0,0.882,4067.0,55532.0,0.779
timerelx,"TIME R WOULD SPEND RELAXING",2.246,1.0,5.0,0.921,1408.0,58191.0,0.848
wrkearn,"JOB IS JUST A WAY TO EARN MONEY",3.461,1.0,5.0,1.178,4095.0,55504.0,1.388
wrkenjoy,"ENJOY JOB EVEN IF $ NOT NEEDED",2.547,1.0,5.0,1.093,4064.0,55535.0,1.194
wrkimp,"WORK IS PERSONS MOST IMPT. ACTIVITY",3.138,1.0,5.0,1.206,2603.0,56996.0,1.456
hwduties,"IS R MAINLY RESPONS.  FOR HH CHORES?",1.628,1.0,3.0,0.778,2603.0,56996.0,0.606
yrsfirm,"IMPORTANCE OF TENURE TO PAY",3.022,1.0,4.0,0.994,1093.0,58506.0,0.989
dowell,"IMPORTANCE OF PERFORMANCE TO PAY",1.502,1.0,4.0,0.847,1122.0,58477.0,0.718
expernc,"IMPORTANCE OF EXPERIENCE TO PAY",2.528,1.0,4.0,0.921,1097.0,58502.0,0.848
paysame,"IMPORTANCE OF STANDARD RATES TO PAY",3.718,1.0,4.0,0.733,1091.0,58508.0,0.537
ageemp,"IMPORTANCE OF AGE TO PAY",3.967,2.0,4.0,0.216,1086.0,58513.0,0.047
sexemp,"IMPORTANCE OF GENDER TO PAY",3.982,2.0,4.0,0.138,1085.0,58514.0,0.019
famresp,"IMPORTANCE OF FAMILY RESPS. TO PAY",3.912,1.0,4.0,0.378,1085.0,58514.0,0.143
educemp,"IMPORTANCE OF EDUC & QUALIF. TO PAY",3.273,1.0,4.0,0.976,1090.0,58509.0,0.952
dk,"DONT KNOW RESPONSE TO PAY ITEMS",1.964,1.0,2.0,0.188,1453.0,58146.0,0.035
bosswrks,"MANAGEMENT & WORKERS ALWAYS IN CONFLICT",2.948,1.0,5.0,1.094,1384.0,58215.0,1.198
strngun,"STRONG UNIONS NEEDED TO PROTECT WORKERS",2.99,1.0,5.0,1.209,1371.0,58228.0,1.461
secjob,"IMPORTANCE OF JOB SECURITY IN A JOB",1.508,1.0,5.0,0.7,4109.0,55490.0,0.49
hiinc,"IMPORTANCE OF HIGH PR INCOME IN A JOB",1.983,1.0,5.0,0.79,4081.0,55518.0,0.624
promotn,"IMPORTANCE OF ADVANCEMENT IN A JOB",1.74,1.0,5.0,0.749,4087.0,55512.0,0.561
leisure,"IMPORTANCE OF LEISURE TIME IN A JOB",3.002,1.0,5.0,0.971,1403.0,58196.0,0.944
intjob,"IMPORTANCE OF INTERESTING WORK IN A JOB",1.567,1.0,5.0,0.662,4094.0,55505.0,0.438
wrkindp,"IMPORTANCE OF INDEPENDENT WORK IN A JOB",1.977,1.0,5.0,0.852,4081.0,55518.0,0.726
hlpoths,"IMPORTANCE OF HELPING OTHERS IN A JOB",1.879,1.0,5.0,0.78,4086.0,55513.0,0.608
hlpsoc,"IMPORTANCE OF SOCIAL USEFULNESS IN A JOB",1.857,1.0,5.0,0.803,4083.0,55516.0,0.645
flexhrs,"IMPORTANCE OF FLEXIBLE HRS. IN A JOB",2.461,1.0,5.0,0.995,4069.0,55530.0,0.99
unpeople,"RANK OF NO PEOPLE CONTACT WHEN UNEMPLYED",3.521,1.0,4.0,0.896,1113.0,58486.0,0.802
unmoney,"RANK OF SHORTAGE OF MONEY WHEN UNEMPLYED",1.739,1.0,4.0,1.041,1145.0,58454.0,1.085
unslfcon,"RANK OF LOSS OF CONFIDE. WHEN UNEMPLYED",2.564,1.0,4.0,1.122,1116.0,58483.0,1.26
unrespct,"RANK OF LOSS OF RESPECT WHEN UNEMPLOYED",3.68,1.0,4.0,0.701,1104.0,58495.0,0.492
unfamten,"RANK OF FAMILY TENSIONS WHEN UNEMPLOYED",2.967,1.0,4.0,1.002,1121.0,58478.0,1.003
unjobexp,"RANK OF HOW TO SPEND TIME WHEN UNEMPLYED",3.654,1.0,4.0,0.725,1105.0,58494.0,0.525
